temp,dew point,humidity,wind speed,datetime
33,30,89,14,2024-02-13 06:51:00
33,29,85,15,2024-02-13 07:51:00
33,29,85,15,2024-02-13 08:17:00
34,28,81,20,2024-02-13 08:48:00
33,29,85,15,2024-02-13 08:51:00
33,30,89,12,2024-02-13 09:51:00
33,30,89,13,2024-02-13 09:58:00
34,30,87,15,2024-02-13 10:48:00
33,30,89,13,2024-02-13 10:51:00
34,30,85,18,2024-02-13 11:34:00
33,30,89,17,2024-02-13 11:51:00
34,30,87,16,2024-02-13 12:49:00
33,30,89,14,2024-02-13 12:51:00
34,30,85,22,2024-02-13 13:37:00
36,30,81,21,2024-02-13 13:48:00
35,31,85,17,2024-02-13 13:51:00
38,28,68,18,2024-02-13 14:51:00
39,28,65,17,2024-02-13 15:51:00
40,28,63,12,2024-02-13 16:51:00
41,27,57,13,2024-02-13 17:51:00
41,25,53,14,2024-02-13 18:51:00
40,24,53,14,2024-02-13 19:51:00
40,23,51,20,2024-02-13 20:51:00
39,22,50,14,2024-02-13 21:51:00
38,22,53,10,2024-02-13 22:51:00
39,23,53,13,2024-02-13 23:51:00
30,12,47,17,2024-02-14 00:51:00
39,21,49,14,2024-02-14 01:51:00
37,21,52,21,2024-02-14 02:51:00
36,22,57,20,2024-02-14 03:51:00
35,18,50,22,2024-02-14 04:51:00
34,12,40,23,2024-02-14 05:51:00
32,11,42,22,2024-02-14 06:51:00
31,12,46,14,2024-02-14 07:51:00
30,11,45,22,2024-02-14 08:51:00
30,12,47,22,2024-02-14 09:51:00
30,11,45,24,2024-02-14 10:51:00
31,11,43,28,2024-02-14 11:51:00
33,13,43,23,2024-02-14 12:51:00
34,12,40,22,2024-02-14 13:51:00
35,11,37,25,2024-02-14 14:51:00
35,11,37,25,2024-02-14 15:51:00
36,11,36,21,2024-02-14 16:51:00
36,10,34,23,2024-02-14 17:51:00
35,11,37,20,2024-02-14 18:51:00
34,10,37,23,2024-02-14 19:51:00
33,10,38,22,2024-02-14 20:51:00
33,11,40,20,2024-02-14 21:51:00
32,12,44,28,2024-02-14 22:51:00
31,12,46,16,2024-02-14 23:51:00
38,25,60,14,2024-02-15 00:51:00
30,13,49,21,2024-02-15 01:51:00
30,13,49,21,2024-02-15 02:51:00
30,14,51,13,2024-02-15 03:51:00
29,13,51,10,2024-02-15 04:51:00
29,13,51,14,2024-02-15 05:51:00
28,12,51,7,2024-02-15 06:51:00
28,12,51,9,2024-02-15 07:51:00
29,12,49,10,2024-02-15 08:51:00
30,13,49,9,2024-02-15 09:51:00
32,12,44,7,2024-02-15 10:51:00
33,12,42,5,2024-02-15 11:51:00
35,13,40,6,2024-02-15 12:51:00
37,13,37,0,2024-02-15 13:51:00
38,8,29,7,2024-02-15 14:51:00
37,8,30,12,2024-02-15 15:51:00
36,15,43,14,2024-02-15 16:51:00
35,19,52,14,2024-02-15 17:51:00
36,22,57,13,2024-02-15 18:51:00
37,23,57,14,2024-02-15 19:51:00
37,20,50,12,2024-02-15 20:51:00
37,21,52,9,2024-02-15 21:51:00
37,23,57,12,2024-02-15 22:51:00
37,24,59,10,2024-02-15 23:51:00
37,15,41,0,2024-02-16 00:51:00
39,26,60,20,2024-02-16 01:51:00
39,25,57,18,2024-02-16 02:51:00
40,25,55,18,2024-02-16 03:51:00
40,21,47,22,2024-02-16 04:51:00
40,20,45,17,2024-02-16 05:51:00
38,16,41,23,2024-02-16 06:51:00
37,14,39,22,2024-02-16 07:51:00
37,13,37,22,2024-02-16 08:51:00
37,14,39,23,2024-02-16 09:51:00
38,14,38,28,2024-02-16 10:51:00
39,14,36,22,2024-02-16 11:51:00
40,13,33,20,2024-02-16 12:51:00
41,13,32,16,2024-02-16 13:51:00
42,13,31,18,2024-02-16 14:51:00
42,13,31,18,2024-02-16 15:51:00
42,13,31,21,2024-02-16 16:51:00
42,13,31,13,2024-02-16 17:51:00
41,12,31,9,2024-02-16 18:51:00
39,15,38,8,2024-02-16 19:51:00
38,15,39,8,2024-02-16 20:51:00
38,13,36,7,2024-02-16 21:51:00
37,14,39,8,2024-02-16 22:51:00
37,15,41,7,2024-02-16 23:51:00
28,11,49,7,2024-02-17 00:51:00
35,19,52,0,2024-02-17 01:10:00
33,21,61,7,2024-02-17 01:51:00
32,21,64,7,2024-02-17 02:08:00
31,23,72,9,2024-02-17 02:33:00
31,24,76,8,2024-02-17 02:40:00
31,24,76,8,2024-02-17 02:51:00
30,26,85,8,2024-02-17 03:51:00
30,26,85,9,2024-02-17 04:42:00
30,26,85,7,2024-02-17 04:51:00
30,26,85,7,2024-02-17 05:51:00
30,26,85,5,2024-02-17 06:13:00
30,26,85,6,2024-02-17 06:32:00
30,26,85,5,2024-02-17 06:51:00
31,26,82,6,2024-02-17 07:51:00
31,27,85,6,2024-02-17 08:51:00
32,27,82,6,2024-02-17 09:51:00
33,28,82,8,2024-02-17 10:51:00
34,28,79,7,2024-02-17 11:41:00
34,28,79,8,2024-02-17 11:51:00
33,26,75,8,2024-02-17 12:16:00
34,25,70,13,2024-02-17 12:51:00
35,26,70,8,2024-02-17 13:37:00
35,22,59,12,2024-02-17 13:51:00
