"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT16","WT18"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-18",,,"0.11","0.0","0.0",,"86","64",,"    1",,,,"    1","    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-19",,,"0.00","0.0","0.0",,"82","66","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-20",,,"0.00","0.0","0.0",,"80","67","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-21",,,"0.00","0.0","0.0",,"74","57",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-22",,,"0.00","0.0","0.0",,"71","50",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-23",,,"0.00","0.0","0.0",,"70","50",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-24",,,"0.00","0.0","0.0",,"66","55",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-25",,,"0.00","0.0","0.0",,"71","54",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-26",,,"0.00","0.0","0.0",,"73","50","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-27",,,"0.00","0.0","0.0",,"79","49","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-28",,,"0.00","0.0","0.0",,"82","55","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-29",,,"0.00","0.0","0.0",,"82","57",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-09-30",,,"0.41","0.0","0.0",,"75","62","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-01",,,"0.00","0.0","0.0",,"78","62","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-02",,,"0.00","0.0","0.0",,"79","61",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-03",,,"0.00","0.0","0.0",,"71","50",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-04",,,"0.00","0.0","0.0",,"62","44",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-05",,,"0.06","0.0","0.0",,"57","50",,,,,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-06",,,"0.10","0.0","0.0",,"69","48",,,,,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-07",,,"0.02","0.0","0.0",,"72","57",,,,,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-08",,,"0.61","0.0","0.0",,"66","58","    1",,,,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-09",,,"0.00","0.0","0.0",,"64","52",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-10",,,"0.00","0.0","0.0",,"70","53",,,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-11",,,"0.18","0.0","0.0",,"65","60",,,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-12",,,"0.00","0.0","0.0",,"67","54","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-13",,,"0.00","0.0","0.0",,"65","50",,,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-14",,,"0.01","0.0","0.0",,"61","48",,,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-15",,,"0.00","0.0","0.0",,"62","48",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-16",,,"0.00","0.0","0.0",,"63","42","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-17",,,"0.00","0.0","0.0",,"67","56",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-18",,,"0.14","0.0","0.0",,"63","38",,,,,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-19",,,"0.00","0.0","0.0",,"50","33",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-20",,,"0.10","0.0","0.0",,"52","42",,,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-21",,,"0.00","0.0","0.0",,"54","37",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-22",,,"0.00","0.0","0.0",,"57","39",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-23",,,"0.00","0.0","0.0",,"60","43",,,,,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-24",,,"0.53","0.0","0.0",,"52","46",,,,,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-25",,,"0.17","0.0","0.0",,"54","47",,,,,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-26",,,"0.00","0.0","0.0",,"68","49",,,,,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-27",,,"0.00","0.0","0.0",,"66","44",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-28",,,"0.00","0.0","0.0",,"64","43",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-29",,,"0.00","0.0","0.0",,"68","46","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-30",,,"0.00","0.0","0.0",,"64","41",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-10-31",,,"0.00","0.0","0.0",,"68","44",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-01",,,"0.00","0.0","0.0",,"63","50",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-02",,,"0.00","0.0","0.0",,"55","42",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-03",,,"0.07","0.0","0.0",,"60","42","    1",,,,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-04",,,"0.16","0.0","0.0",,"62","57","    1",,,,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-05",,,"0.00","0.0","0.0",,"65","57","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-06",,,"0.00","0.0","0.0",,"66","59","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-07",,,"0.37","0.0","0.0",,"65","49",,,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-08",,,"0.00","0.0","0.0",,"60","44",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-09",,,"0.00","0.0","0.0",,"63","44","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-10",,,"0.99","0.0","0.0",,"64","52","    1",,,,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-11",,,"0.00","0.0","0.0",,"55","43",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-12",,,"0.00","0.0","0.0",,"56","43",,,,,,,"    1",,,
